"","eip"
"794",0.22
"795",0.22
"796",0.33
"797",0.3
"798",0.43
"799",0.09
"800",0.27
"801",0.31
"802",0.39
"803",0.23
"804",0.35
"805",0.26
"806",0.31
"807",0.21
"808",0.39
"809",0.17
"810",0.32
"811",0.23
"812",0.11
"813",0.16
"814",0.68
"815",0.14
"816",0.21
"817",0.15
"818",0.37
"819",0.29
"820",1
"821",0.14
"822",0.39
"823",0.25
"824",0.8
"825",0.09
"826",0.15
"827",0.27
"828",0.14
"829",0.33
"830",0.33
"831",0.04
"832",0.12
"833",0.11
"834",0.37
"835",0.12
"836",0.36
"837",0.14
"838",0.12
"839",0.22
"840",0.17
"841",0.09
"842",0.11
"843",0.44
"844",0.09
"845",0.13
"846",0.09
"847",0.06
"848",0.09
"849",0.08
"850",0.2
"851",0.18
"852",0.08
"853",0.49
"854",0.3
"855",0.25
"856",0.17
"857",0.12
"858",0.11
"859",0.28
"860",1
"861",0.98
"862",0.29
"863",0.22
"864",0.2
"865",0.22
"866",0.13
"867",0.22
"868",0.25
"869",0.22
"870",0.1
"871",0.14
"872",0.13
"873",0.23
"874",0.19
"875",0.32
"876",0.36
"877",0.3
"878",0.19
"879",0.19
"880",0.17
"881",0.36
"882",0.08
"883",0.18
"884",0.17
"885",0.2
"886",0.13
"887",0.08
"888",0.21
"889",0.19
"890",0.15
"891",0.53
"892",0.09
"893",0.13
"894",0.3
"895",0.49
"896",0.13
"897",0.11
"898",0.19
"899",0.43
"900",0.2
"901",1
"902",1
"903",1
"904",0.24
"905",0.29
"906",0.32
"907",0.17
"908",0.34
"909",0.16
"910",0.35
"911",0.13
"912",0.17
"913",0.17
"914",0.22
"915",0.59
"916",0.22
"917",0.24
"918",0.19
"919",0.48
"920",0.22
"921",0.33
"922",0.21
"923",0.12
"924",0.23
"925",0.43
"926",0.19
"927",0.34
"928",0.31
"929",0.25
"930",0.17
"931",0.19
"932",0.19
"933",0.15
"934",0.46
"935",0.18
"936",0.18
"937",0.28
"938",0.27
"939",0.38
"940",0.25
"941",0.31
"942",0.1
"943",0.37
"944",0.3
"945",0.06
"946",0.18
"947",0.38
"948",0.03
"949",0.15
"950",0.13
"951",0.27
"952",0.4
"953",0.29
"954",0.19
"955",0.61
"956",0.17
"957",0.24
"958",0.23
"959",0.15
"960",0.18
"961",0.18
"962",0.32
"963",0.14
"964",0.35
"965",0.12
"966",0.39
"967",0.67
"968",0.4
"969",0.28
"970",0.17
"971",0.23
"972",0.18
"973",0.17
"974",0.15
"975",0.4
"976",0.16
"977",0.13
"978",0.16
"979",0.12
"980",0.14
"981",0.6
"982",0.44
"983",0.25
"984",0.39
"985",0.34
"986",0.64
"987",0.77
"988",0.5
"989",0.62
"990",0.78
"991",0.23
"992",0.23
"993",0.4
"994",0.18
"995",0.21
"996",0.2
"997",0.23
"998",0.18
"999",0.41
"1000",0.27
"1001",0.18
"1002",0.22
"1003",0.13
"1004",0.13
"1005",0.22
"1006",0.42
"1007",0.25
"1008",0.24
"1009",0.2
"1010",0.23
"1011",0.37
"1012",0.3
"1013",0.12
"1014",0.18
"1015",0.23
"1016",0.19
"1017",0.26
"1018",0.33
"1019",0.29
"1020",0.11
"1021",0.19
"1022",0.11
"1023",0.11
"1024",0.12
"1025",0.21
"1026",0.22
"1027",0.13
"1028",0.2
"1029",0.24
"1030",0.25
"1031",0.16
"1032",0.04
"1033",0.16
"1034",0.2
"1035",0.76
"1036",0.31
"1037",0.17
"1038",0.35
"1039",0.21
"1040",0.24
"1041",0.29
"1042",0.28
"1043",0.25
"1044",0.18
"1045",0.23
"1046",0.17
"1047",0.28
"1048",0.26
"1049",0.44
"1050",0.2
"1051",0.21
"1052",0.35
"1053",0.22
"1054",0.26
"1055",0.17
"1056",0.23
"1057",0.23
"1058",0.22
"1059",0.33
"1060",0.22
"1061",0.56
"1062",0.31
"1063",0.51
"1064",0.26
"1065",0.38
"1066",0.3
"1067",0.24
"1068",0.07
"1069",0.23
"1070",0.3
"1071",0.13
"1072",0.6
"1073",0.39
"1074",0.17
"1075",0.38
"1076",0.2
"1077",0.09
"1078",0.11
"1079",0.73
"1080",0.23
"1081",0.3
"1082",0.22
"1083",0.22
"1084",0.14
"1085",0.25
"1086",0.41
"1087",0.18
"1088",0.37
"1089",0.22
"1090",0.13
"1091",0.16
"1092",0.71
"1093",0.3
"1094",0.14
"1095",0.32
"1096",0.23
"1097",0.15
"1098",0.37
"1099",0.27
"1100",0.39
"1101",0.28
"1102",0.45
"1103",0.21
"1104",0.28
"1105",0.17
"1106",0.21
"1107",0.13
"1108",0.18
"1109",0.26
"1110",0.12
"1111",0.16
"1112",0.28
"1113",0.13
"1114",0.09
"1115",0.74
"1116",0.2
"1117",0.31
"1118",0.1
"1119",0.19
"1120",0.27
"1121",0.28
"1122",0.61
"1123",0.44
"1124",0.16
"1125",0.24
"1126",0.19
"1127",0.3
"1128",0.36
"1129",0.23
"1130",0.11
"1131",0.14
"1132",0.16
"1133",0.25
"1134",0.37
"1135",0.26
"1136",0.35
"1137",0.31
"1138",0.17
"1139",0.25
"1140",0.28
"1141",0.32
"1142",0.21
"1143",0.51
"1144",0.19
"1145",0.17
"1146",0.29
"1147",0.22
"1148",0.23
"1149",0.18
"1150",0.15
"1151",0.47
"1152",0.85
"1153",0.24
"1154",0.34
"1155",0.33
"1156",0.19
"1157",0.25
"1158",0.23
"1159",0.16
"1160",0.29
"1161",0.22
"1162",0.3
"1163",0.16
"1164",0.11
"1165",0.15
"1166",0.46
"1167",0.38
"1168",0.09
"1169",0.2
"1170",0.04
"1171",0.13
"1172",0.26
"1173",0.15
"1174",0.47
"1175",0.33
"1176",0.32
"1177",0.5
"1178",0.22
"1179",0.2
"1180",0.17
"1181",0.81
"1182",0.22
"1183",0.61
"1184",0.16
"1185",0.18
"1186",0.38
"1187",0.28
"1188",0.36
"1189",0.18
"1190",0.14
"1191",0.3
"1192",0.18
"1193",0.2
"1194",0.17
"1195",0.22
"1196",0.25
"1197",0.21
"1198",0.22
"1199",0.21
"1200",0.14
"1201",0.35
"1202",0.65
"1203",0.38
"1204",0.19
"1205",0.33
"1206",0.16
"1207",0.52
"1208",0.33
"1209",0.07
"1210",0.21
"1211",0.14
"1212",0.23
"1213",0.23
"1214",0.18
"1215",0.15
"1216",0.36
"1217",0.19
"1218",0.21
"1219",0.38
"1220",0.48
"1221",0.29
"1222",0.84
"1223",0.18
"1224",0.41
"1225",0.48
"1226",0.85
"1227",0.11
"1228",0.54
"1229",0.15
"1230",0.2
"1231",0.19
"1232",0.54
"1233",0.32
"1234",0.07
"1235",0.18
"1236",0.26
"1237",0.27
"1238",0.16
"1239",0.22
"1240",0.32
"1241",0.19
"1242",0.53
"1243",0.29
"1244",0.26
"1245",0.25
"1246",0.66
"1247",0.28
"1248",0.31
"1249",0.31
"1250",0.3
"1251",0.2
"1252",0.4
"1253",0.38
"1254",0.37
"1255",0.47
"1256",0.16
"1257",0.07
"1258",0.1
"1259",0.44
"1260",0.59
"1261",0.15
"1262",0.14
"1263",0.14
"1264",0.13
"1265",0.06
"1266",0.15
"1267",0.08
"1268",0.17
"1269",0.11
"1270",0.14
"1271",0.32
"1272",0.24
"1273",0.37
"1274",0.29
"1275",0.23
"1276",0.22
"1277",0.1
"1278",0.21
"1279",0.25
"1280",0.29
"1281",0.22
"1282",0.16
"1283",0.21
"1284",0.46
"1285",0.35
"1286",0.21
"1287",0.16
"1288",0.23
"1289",0.28
"1290",0.11
"1291",0.3
"1292",0.38
"1293",0.21
"1294",0.43
"1295",0.18
"1296",0.15
"1297",0.18
"1298",0.34
"1299",0.26
"1300",0.37
"1301",0.17
"1302",0.19
"1303",0.27
"1304",0.34
"1305",0.33
"1306",0.23
"1307",0.43
"1308",0.06
"1309",0.26
"1310",0.82
"1311",0.09
"1312",0.26
"1313",0.15
"1314",0.15
"1315",0.23
"1316",0.71
"1317",0.17
"1318",0.13
"1319",0.18
"1320",0.49
"1321",0.16
"1322",0.41
"1323",0.28
"1324",0.22
"1325",0.23
"1326",0.11
"1327",0.32
"1328",0.21
"1329",0.29
"1330",0.18
"1331",0.18
"1332",0.31
"1333",0.42
"1334",0.16
"1335",0.34
"1336",0.5
"1337",0.2
"1338",0.25
"1339",0.24
"1340",0.36
"1341",0.23
"1342",0.54
"1343",0.23
"1344",0.6
