"","eip"
"1008",0.16
"1009",0.14
"1010",0.27
"1011",0.14
"1012",0.18
"1013",0.27
"1014",0.12
"1015",0.21
"1016",0.26
"1017",0.29
"1018",0.15
"1019",0.21
"1020",0.51
"1021",0.1
"1022",0.14
"1023",0.08
"1024",0.31
"1025",0.14
"1026",0.26
"1027",0.3
"1028",0.15
"1029",0.27
"1030",0.23
"1031",0.44
"1032",0.78
"1033",1
"1034",1
"1035",0.41
"1036",0.2
"1037",0.14
"1038",0.17
"1039",0.27
"1040",0.5
"1041",0.17
"1042",0.06
"1043",0.36
"1044",0.48
"1045",0.1
"1046",0.37
"1047",0.15
"1048",0.32
"1049",0.18
"1050",0.14
"1051",0.18
"1052",0.19
"1053",0.36
"1054",0.1
"1055",0.14
"1056",0.09
"1057",0.26
"1058",0.28
"1059",0.18
"1060",0.22
"1061",0.11
"1062",0.09
"1063",0.07
"1064",0.12
"1065",0.19
"1066",0.2
"1067",0.35
"1068",0.23
"1069",0.26
"1070",0.01
"1071",0.2
"1072",0.26
"1073",0.09
"1074",0.21
"1075",0.18
"1076",0.27
"1077",0.05
"1078",0.12
"1079",0.24
"1080",0.08
"1081",0.45
"1082",0.37
"1083",0.2
"1084",0.53
"1085",0.22
"1086",0.73
"1087",0.18
"1088",0.16
"1089",0.18
"1090",0.17
"1091",0.21
"1092",0.19
"1093",0.2
"1094",0.22
"1095",0.55
"1096",0.36
"1097",0.13
"1098",0.39
"1099",0.26
"1100",0.13
"1101",0.21
"1102",0.15
"1103",0.2
"1104",0.19
"1105",0.27
"1106",0.1
"1107",0.31
"1108",0.46
"1109",0.26
"1110",0.19
"1111",0.34
"1112",0.18
"1113",0.2
"1114",0.11
"1115",0.32
"1116",0.18
"1117",0.32
"1118",0.29
"1119",0.48
"1120",0.14
"1121",0.16
"1122",0.12
"1123",0.16
"1124",0.19
"1125",0.65
"1126",0.15
"1127",0.19
"1128",1
"1129",0.11
"1130",0.14
"1131",0.29
"1132",0.21
"1133",0.15
"1134",0.2
"1135",0.15
"1136",0.08
"1137",0.35
"1138",0.07
"1139",0.28
"1140",0.14
"1141",0.11
"1142",0.68
"1143",0.24
"1144",0.52
"1145",0.13
"1146",0.57
"1147",0.07
"1148",0.16
"1149",0.39
"1150",0.16
"1151",0.12
"1152",0.31
"1153",0.1
"1154",0.2
"1155",0.35
"1156",0.39
"1157",0.15
"1158",0.17
"1159",0.1
"1160",0.25
"1161",0.11
"1162",0.45
"1163",0.07
"1164",0.21
"1165",0.27
"1166",0.21
"1167",0.81
"1168",0.88
"1169",0.28
"1170",0.22
"1171",0.19
"1172",0.24
"1173",0.1
"1174",0.33
"1175",1
"1176",1
"1177",0.11
"1178",0.17
"1179",0.56
"1180",0.54
"1181",0.21
"1182",0.29
"1183",0.54
"1184",0.17
"1185",0.34
"1186",0.47
"1187",0.23
"1188",0.14
"1189",0.19
"1190",0.15
"1191",0.15
"1192",0.12
"1193",0.28
"1194",0.28
"1195",0.82
"1196",0.27
"1197",0.21
"1198",0.33
"1199",0.29
"1200",0.46
"1201",0.22
"1202",0.22
"1203",0.3
"1204",0.67
"1205",0.17
"1206",0.44
"1207",0.27
"1208",0.33
"1209",0.14
"1210",0.15
"1211",0.22
"1212",0.14
"1213",0.28
"1214",0.28
"1215",0.27
"1216",0.31
"1217",0.1
"1218",0.4
"1219",0.14
"1220",0.23
"1221",0.1
"1222",0.32
"1223",0.1
"1224",0.19
"1225",0.33
"1226",0.52
"1227",0.49
"1228",0.55
"1229",0.1
"1230",0.45
"1231",0.2
"1232",0.21
"1233",0.16
"1234",0.14
"1235",0.17
"1236",0.2
"1237",0.45
"1238",0.2
"1239",0.95
"1240",0.69
"1241",0.12
"1242",0.16
"1243",0.74
"1244",0.14
"1245",0.65
"1246",0.08
"1247",0.48
"1248",0.06
"1249",0.24
"1250",0.16
"1251",0.28
"1252",0.25
"1253",0.27
"1254",0.29
"1255",0.47
"1256",0.15
"1257",0.15
"1258",0.06
"1259",0.33
"1260",0.24
"1261",0.1
"1262",0.51
"1263",0.23
"1264",0.23
"1265",0.21
"1266",0.51
"1267",0.48
"1268",0.31
"1269",0.95
"1270",0.13
"1271",0.51
"1272",0.14
"1273",0.08
"1274",0.18
"1275",0.22
"1276",0.15
"1277",0.24
"1278",0.13
"1279",0.34
"1280",0.12
"1281",0.37
"1282",0.1
